Title,Price (in $),Difficulty,Subject Category,Provider,Course Length (in Days),Course Language,Composite Score
Introduction to Front-End Development,0,beginner,Computer Science,Coursera,21,English,0.86
How to Get Into Web Development,0,beginner,Computer Science,Coursera,21,English,0.86
Full Stack Web Development,0,beginner,Computer Science,Coursera,21,English,0.86
Ciencia de Datos: Fundamentos de R,0,beginner,data science & stem,Harvard T.H. Chan School of Public Health,28,English,0.82
Programming with JavaScript,0,beginner,Computer Science,Coursera,62,English,0.6
Web Development with Python,0,beginner,Computer Science,Coursera,62,English,0.6
Web Development Fundamentals,0,beginner,Computer Science,Coursera,62,English,0.6
Persuasive Leadership: Advanced Storytelling and Investor Pitching in the Age of AI,1750,beginner,business & management,Harvard Graduate School of Design,0,English,0.0
